,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
Mr. Fantastic Doppel,0.15030674846625766,9.185904295519584e-06,0.5335515548281505,0.050201489727825226,137,318,148,104
Beyonder,0.11042944785276074,0.00022447748789382652,0.5292207792207793,0.03298570539622455,191,178,157,167
Multiple Man / James A,0.23312883435582823,0.0008285565130112153,0.5601374570446735,0.0645117540792715,78,108,83,80
Colossus Ii Doppelga,0.07975460122699386,0.0,0.5101721439749609,0.028178350719422148,256,326,215,189
Scanner Ii,0.05828220858895706,3.5347671292857706e-05,0.4894894894894895,0.01748166157011082,306,289,267,273
Ka-zar / Kevin Plunder,0.10122699386503067,0.00013604939642412019,0.5249597423510467,0.03253212907550976,204,217,173,168
White Queen / Emma Fro,0.12269938650306748,0.0005155877659157816,0.4880239520958084,0.02662073064813595,169,140,272,204
Magma / Amara Aquilla / ,0.08588957055214724,0.00010177432098392847,0.5199362041467305,0.018968670469699363,239,231,191,260
Thanos Doppelganger,0.18711656441717792,6.892164554534458e-05,0.5442404006677797,0.0592888157906361,103,254,114,87
Magus,0.22085889570552147,0.00013994478799345835,0.5544217687074829,0.06871928427729028,85,215,93,74
"Knight, Misty",0.08282208588957056,0.00017767535424155763,0.5191082802547771,0.024703661629174877,251,200,194,224
"Wing, Colleen",0.03680981595092025,1.6283320377951748e-05,0.46504992867332384,0.010190847722853622,325,311,306,305
Puppet Master / Philli,0.07668711656441718,2.0816137562518883e-05,0.5133858267716536,0.025764478228105035,264,305,211,211
Maximus [inhuman],0.06134969325153374,3.6573769081418327e-06,0.482962962962963,0.01748703780118411,297,322,280,272
Punisher Ii / Frank Ca,0.11656441717791412,0.0011749850020530673,0.5266558966074314,0.01883335132276699,177,87,166,261
Zeus,0.0736196319018405,6.465788592582268e-05,0.4880239520958084,0.020281317854030978,272,260,272,251
Box Iv / Madison Jeffr,0.06134969325153374,3.93923320317909e-05,0.5,0.01580309953985358,297,282,242,283
Thena,0.06748466257668712,9.866163754408503e-05,0.482962962962963,0.013565406550790754,283,233,280,292
Black Cat / Felicia Ha,0.08895705521472393,0.0005513457233544519,0.49544072948328266,0.013112813969203585,231,134,250,296
Gee / Alex Power,0.06748466257668712,0.0003572029625584625,0.4946889226100152,0.014918225293812608,283,163,255,288
Spider-man Clone / Ben,0.05828220858895706,0.00014835875763984668,0.45403899721448465,0.006045255007354181,306,210,313,316
Ulik,0.05828220858895706,6.412806274517434e-05,0.4508990318118949,0.008389452661570717,306,261,317,310
Citizen V Ii / Helmut,0.0950920245398773,0.0004171770683389708,0.5069984447900466,0.0204076750367261,217,150,220,249
High Evolutionary / He,0.12576687116564417,0.0010261467315035822,0.5232744783306581,0.02917604809949297,163,94,179,185
Hobgoblin V / Jason Ph,0.07975460122699386,0.0003237331892979587,0.4630681818181818,0.007764272874511836,256,167,308,312
Ghost Rider Iii / Dan,0.05828220858895706,0.00019285997195731265,0.5038639876352395,0.016435982279450687,306,190,230,280
"Cushing, Kate",0.0705521472392638,3.477845324519407e-05,0.44474761255115963,0.004793758669438744,279,291,322,322
"Katzenberg, Nick",0.06134969325153374,1.9533899680824365e-05,0.4429347826086957,0.004393773340150705,297,308,324,325
