,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
BASILISK III / ,0.0031240237425804434,0.0,0.40221147201105734,0.005053418682107715,3214,4067,1717,1904
BASILISK II,0.0014058106841611997,0.0,0.33574575204531154,0.00079547995575794,5057,4067,5937,4925
BATAL / ,0.0010934083099031551,0.0,0.3475758727401053,0.0008497438253588951,5492,4067,5287,4847
BATROC / GEORGES BATRO,0.02733520774757888,0.0009495085381199897,0.4591222030981067,0.017704317932978678,371,251,472,565
BATTERING RAM,0.0015620118712902217,0.0,0.3580737177694502,0.00041440839427559195,4812,4067,4624,5599
BATTERY / ,0.0020306154326772885,0.0,0.3589571068124474,0.000943307217703803,4200,4067,4571,4676
BATTLEAXE / ,0.009215870040612308,4.343437808784943e-06,0.3883766076195098,0.004661557790431986,1318,2383,2335,2008
BATTLEAXE II / JEROME,0.0037488284910965324,1.7077182602664943e-06,0.37003641408011095,0.002079737735440089,2830,2806,3670,3269
"BATTLE, MONTGOMERY",0.0032802249297094657,0.0,0.38360596800287616,0.002530101643830675,3094,4067,2613,2938
BATTLESTAR / LEMAR HOS,0.02452358637925648,0.0004393075412601162,0.45968263086091765,0.01759632604926883,420,404,462,570
BATWING / ,0.0020306154326772885,6.747694879835667e-09,0.36858771374287524,0.001518111845320662,4200,3994,3827,3846
BAV-TEK,0.0015620118712902217,0.0,0.3096193838564589,0.00011968453458086386,4812,4067,6327,6272
"BAXTER, ABIGAIL",0.002655420181193377,1.2425156842560503e-06,0.3938238188976378,0.0033629383655924576,3591,2930,2088,2498
BAXTER,0.0010934083099031551,0.0,0.33944856839872745,0.0006213478433662333,5492,4067,5820,5223
"BAXTER, NOAH",0.0060918462980318645,2.219287988149695e-05,0.41985834207764955,0.005907160026420244,1940,1553,1183,1648
"BAYLOR, FRANK",0.0012496094970321774,0.0,0.317260518360672,0.00012757197777644088,5271,4067,6310,6257
BAYMAX,0.012339893783192751,9.654341826680625e-05,0.3998001623680759,0.007018154208638652,947,862,1816,1440
"BAZIN, ALLEGRA",0.005935645110902842,6.167804297638561e-05,0.3930742309817646,0.0025815989621905113,1994,1070,2121,2914
"BAZIN, ANDREW",0.003436426116838488,2.2436830442951198e-05,0.3791081897317463,0.0014034574122485538,3010,1547,2878,3975
"BAZIN, BRODERICK RIC",0.004217432052483598,3.105029261470329e-05,0.38000831008488156,0.0014563723696009868,2569,1364,2832,3913
"BAZIN, PHILLIPPE",0.006404248672289909,0.0001015198930208825,0.4068636796949476,0.003893159431132625,1854,847,1570,2268
"BEACH, GINGER",0.013901905654482974,0.0001868875716145456,0.4545583641011076,0.015297089011354634,824,638,524,674
"BEACH, SPIDER",0.013901905654482974,0.0001868875716145456,0.4545583641011076,0.015297089011354636,824,638,524,673
"BEALE, ERIC",0.003436426116838488,1.9593950352997056e-07,0.37169066418950303,0.003322568311219619,3010,3482,3458,2518
BEAR / ,0.0012496094970321774,0.0,0.3447867298578199,0.0004048304576615521,5271,4067,5472,5619
BEAST 2013,0.0014058106841611997,0.0,0.3395205770046669,0.0003373599071225679,5057,4067,5813,5789
BEAST DOPPELGANGER I,0.01499531396438613,3.964527223292203e-06,0.46522781774580335,0.021022645466370758,759,2429,393,440
BEAST DOPPELGANGER,0.013901905654482974,0.0,0.45272611555052683,0.017802034540310752,824,4067,553,553
BEAST / HENRY &HANK& P,0.2085285848172446,0.02229643957455157,0.5545738045738046,0.09745228344187636,9,13,9,8
