,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
STONECUTTER / UTAMA TO,0.002136752136752137,0.0,0.3471295060080107,0.002508463969971192,1489,1310,992,1167
"STONE, LT. MARCUS",0.010256410256410256,9.911930974704835e-05,0.362453531598513,0.006715282474179876,395,522,472,622
"STONE, TIBERIUS",0.00042735042735042735,0.0,0.3377598152424942,0.0012226788388201683,2176,1310,1314,1664
STONEWALL / LOUIS HAMI,0.00641025641025641,2.3189667021679386e-08,0.3468208092485549,0.007509030056692404,653,1308,1033,571
STORM / ORORO MUNROE S,0.1282051282051282,0.020252384698285456,0.5030094582975064,0.12164308985232303,11,20,13,9
"STRANG, COL. / LT. GAR",0.0029914529914529912,1.0643004649649356e-05,0.34826611102842686,0.0026244923952315684,1243,775,887,1141
STRANGER,0.012393162393162393,0.00020131118735390563,0.4088050314465409,0.02079734177962619,335,420,194,259
STRIDER,0.0038461538461538464,6.818230941248644e-07,0.3444722508464596,0.004709793664066358,1005,1084,1101,782
STROBE / ,0.004273504273504274,2.1894898567335733e-05,0.3201532357367629,0.002246474147521214,937,685,1791,1247
STRONG GUY / GUIDO CAR,0.04316239316239316,0.0005823273475582796,0.43237250554323725,0.06979762700893309,86,308,118,61
STRONTIUM-90 / ,0.002136752136752137,0.0,0.32019704433497537,0.0006389720705167172,1489,1310,1785,1969
"STROUD, SIMON",0.002136752136752137,1.3133303667792733e-06,0.3492016116997463,0.0020670561619960093,1489,1012,847,1305
"STRUCKER, ANDREA",0.004700854700854701,1.5831100307711757e-05,0.3523035230352303,0.006456607885528461,861,711,697,637
"STRUCKER, ANDREAS",0.008547008547008548,0.0010716466905523658,0.358840668609109,0.006922233104085197,468,222,536,603
STRYFE,0.018376068376068377,0.0016155206820851048,0.3684459140292867,0.024550893024605037,234,188,402,220
"STUART, BRIG. ALYSAN",0.004700854700854701,4.7199392186368854e-07,0.3293918918918919,0.003685504923159628,861,1126,1543,903
"STUART, DR. ALISTAIR",0.007264957264957265,4.57749518087784e-06,0.3293918918918919,0.0038441312322724905,562,886,1543,878
STUNNER / ANGELINA BRA,0.004273504273504274,4.1692013503221215e-07,0.34857738715924325,0.002670570264792949,937,1145,873,1128
STUNT-MASTER / GEORGE,0.0017094017094017094,8.203475688233e-06,0.3306953080836631,0.0013164906117726753,1649,814,1501,1623
SUB-MARINER / NAMOR MA,0.10427350427350428,0.028881365765894607,0.4886197536020046,0.09678450002922212,22,9,29,31
"SU, DR. KO BIN",0.002564102564102564,0.0,0.3106744556558683,0.0015436621680707293,1362,1310,1943,1513
"SUEE, FAH LO",0.002564102564102564,0.0,0.26782648506352297,5.9938578228030176e-05,1362,1310,2203,2260
"SUMMERS, MADELYNE MA",0.02264957264957265,0.0003948106878803064,0.36815607300188796,0.026499849069058928,182,339,404,201
"SUMMERS, NATHAN CHRI",0.0594017094017094,0.01751445879149276,0.44545973729297544,0.054084736118237324,54,27,90,92
"SUMMERS, SCOTT III |",0.005555555555555556,1.1762816380174224e-06,0.31797798613942113,0.00099219391522877,754,1017,1819,1798
SUMO,0.00042735042735042735,0.0,0.26927502876869963,0.00024224530886238528,2176,1310,2198,2128
SUNDER,0.0059829059829059825,1.0934225796538557e-06,0.3512458721104773,0.009618169156274965,702,1025,749,468
SUNFIRE / SHIRO YOSHID,0.02735042735042735,0.0015629953967668815,0.41659248709275415,0.04477032284801269,156,194,172,111
"SUN, LIN",0.0038461538461538464,2.0763752842928068e-05,0.3162589539126909,0.000869101815641062,1005,689,1857,1879
SUNSPOT / ROBERTO DACO,0.05641025641025641,0.007213595982596413,0.42920029347028615,0.04935555409492194,57,62,130,103
SUNTURION / ARTHUR DEA,0.00042735042735042735,0.0,0.3377598152424942,0.0012226788388201683,2176,1310,1314,1664
SUPER-ADAPTOID / ALESS,0.003418803418803419,1.5456396000564242e-06,0.3655107778819119,0.00732949741276989,1126,988,435,583
"SUPERIA / WENTWORTH, D",0.0017094017094017094,0.0,0.35108777194298574,0.0018462417294942794,1649,1310,753,1392
